asin,url,category,rank,title,price,review_count,rating
B0018NBVKQ,https://www.amazon.com/dp/B0018NBVKQ,"Arts, Crafts & Sewing",#1,"Apple Barrel Acrylic Paint in Assorted Colors (8 Ounce), 20403 White",2.97,"25,259",4.8 out of 5 stars
B0C3QP952N,https://www.amazon.com/dp/B0C3QP952N,"Arts, Crafts & Sewing",#3,"BADCOLOR Black Cream-Blendable Face Body Paint Stick for Adults Children Eye Black Softball Football Baseball Sports , Non-Toxic Hypoallergenic for Halloween SFX Makeup Cosplay Joker Costume Parties",5.99,"1,841",4.3 out of 5 stars
B0CP48JPCH,https://www.amazon.com/dp/B0CP48JPCH,"Arts, Crafts & Sewing",#4,"ARTISTRO Acrylic Paint Markers for Rock, Fabric, Wood, Glass, Craft - 24 Quick Dry Dual-Tip Paint Pens for Halloween Decorations - Pumpkin Painting Kit, Drawing Markers, Art Supplies, Christmas Gift",9.97,"5,290",4.6 out of 5 stars
B08CGMYQGN,https://www.amazon.com/dp/B08CGMYQGN,"Arts, Crafts & Sewing",#5,"UCANBE Athena Face Body Paint Oil Palette, Professional Flash Non Toxic Safe Tattoo Halloween FX Party Artist Fancy Makeup Painting Kit For Kids and Adult",20.99,"12,491",4.4 out of 5 stars
B0CMD7TNS8,https://www.amazon.com/dp/B0CMD7TNS8,"Arts, Crafts & Sewing",#6,"FITTDYHE Fabric Glue Permanent, 60 ML Washable Clear Clothing Glue, Super Fabric Adhesive for Rhinestones, Patches, Clothes, Denim, Leather, Polyester, Fabrics, Doll Repair, Flannel, Cotton",9.69,"3,535",4.5 out of 5 stars
B09W1HR5VD,https://www.amazon.com/dp/B09W1HR5VD,"Arts, Crafts & Sewing",#7,Red Heart Super Saver Black Yarn - 3 Pack of 198g/7oz - Acrylic - 4 Medium (Worsted) - 364 Yards - Knitting/Crochet,11.31,"25,935",4.7 out of 5 stars
B07YDDX4JL,https://www.amazon.com/dp/B07YDDX4JL,"Arts, Crafts & Sewing",#9,"3-Pack 8"" Heavy Duty Scissors with Ultra Sharp Blades and Comfort Grip Handles - For Office, Home, School, Sewing, and Crafts",8.49,"83,492",4.8 out of 5 stars
B0BXKB7QF6,https://www.amazon.com/dp/B0BXKB7QF6,"Arts, Crafts & Sewing",#10,"Coquimbo Sewing Kit Christmas Stocking Stuffers White Elephant Gifts for Adults Teen Girls Mom Grandma Beginner Traveler, Portable Sewing Supplies Accessories with Thread, Needles, Scissors (Black, M)",5.98,"58,732",4.5 out of 5 stars
B089T7PX27,https://www.amazon.com/dp/B089T7PX27,"Arts, Crafts & Sewing",#11,"Crayola Air Dry Clay (5lbs), Teacher Supplies, Natural White Modeling Clay for Kids, Sculpting Material, Bulk Craft Supplies for Art Classrooms",11.24,"17,143",4.6 out of 5 stars
B07D4YF3K4,https://www.amazon.com/dp/B07D4YF3K4,"Arts, Crafts & Sewing",#12,"Neenah Index Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, Lightweight, 94 Brightness, 300 Sheets (91437)",13.49,"14,903",4.6 out of 5 stars
B0DD3R847F,https://www.amazon.com/dp/B0DD3R847F,"Arts, Crafts & Sewing",#13,"Acrylic Paint Set, 24 Colors (2 oz/Bottle) with 12 Art Brushes, Art Supplies for Painting Canvas, Wood, Ceramic & Fabric, Rich Pigments Lasting Quality for Beginners, Students & Professional Artist",15.31,"4,001",4.3 out of 5 stars
B0CHTZD63Q,https://www.amazon.com/dp/B0CHTZD63Q,"Arts, Crafts & Sewing",#14,"Scrapbook Tape, 4 Pack Double Sided Tape Roller for Crafts, Adhesive Glue Runner Scrapbooking Supplies Journaling School Office Teacher Supplies for Kids and Adults, 0.3IN x 26FT",6.92,"5,105",4.4 out of 5 stars
B00178QQJ8,https://www.amazon.com/dp/B00178QQJ8,"Arts, Crafts & Sewing",#16,"Mod Podge Gloss Sealer, Glue & Finish: All-in-One Craft Solution- Quick Dry, Easy Clean, for Wood, Paper, Fabric & More. Non-Toxic - Craft with Confidence, Made in USA, 16 oz., Pack of 1",7.99,"56,330",4.8 out of 5 stars
B0BHYGM2XG,https://www.amazon.com/dp/B0BHYGM2XG,"Arts, Crafts & Sewing",#17,"KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners",9.49,"8,391",4.7 out of 5 stars
B08GKQ6BY2,https://www.amazon.com/dp/B08GKQ6BY2,"Arts, Crafts & Sewing",#19,Klangfeiler® Hemming Tape - 0.75 INCH x 32 Yards - Extra Strong - Iron-On Hem Tape Adhesive,9.99,"11,418",4.3 out of 5 stars
B089ZVY1L1,https://www.amazon.com/dp/B089ZVY1L1,"Arts, Crafts & Sewing",#21,"HTVRONT HTV Roll Heat Transfer Vinyl - 12"" x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for All Cutting Machine - Easy to Cut & Weed for Heat Transfer Design (White)",8.99,"39,327",4.5 out of 5 stars
B0BC878ZRG,https://www.amazon.com/dp/B0BC878ZRG,"Arts, Crafts & Sewing",#22,"Krightlink Hot Glue Gun Kit with 30 Glue Sticks, Fast Preheating Hot Melt, High Temp for School Crafts DIY Arts and Quick Home Repairs (20w)",8.49,"2,805",4.6 out of 5 stars
B0B19J9FZM,https://www.amazon.com/dp/B0B19J9FZM,"Arts, Crafts & Sewing",#23,"Soucolor Sketch Book, Spiral Bound Acid-Free Sketchbook with 68lb/100gsm for Paper Painting, Drawing, Writing, Artist Sketching Pad for Kids, Adults & Teens, 100 Sheets (Black, 9 x 12 Inch, Pack of 1)",8.99,"6,649",4.8 out of 5 stars
B0CH4TP92N,https://www.amazon.com/dp/B0CH4TP92N,"Arts, Crafts & Sewing",#24,"XKDOUS Safety Pins - 150 Pcs Assorted Sizes Silver Pins Bulk - Small & Large Heavy Duty for Clothes, Sewing, Craft",3.99,"2,211",4.5 out of 5 stars
B000VXO4L2,https://www.amazon.com/dp/B000VXO4L2,"Arts, Crafts & Sewing",#25,"Elmer’s Disappearing Purple School Glue Sticks, Washable, 7g, 30 Count - Bulk Pack for Classrooms, 1 Teacher Brand",9.49,"42,606",4.9 out of 5 stars
B07FCNW3JK,https://www.amazon.com/dp/B07FCNW3JK,"Arts, Crafts & Sewing",#26,"Gya Labs Australian Tea Tree Essential Oil - 0.34 Fl Oz - for Hair, Skin, Diffuser, Aromatherapy & DIY Candle Making Scent",6.99,"100,123",4.4 out of 5 stars
B0D6R7FSBF,https://www.amazon.com/dp/B0D6R7FSBF,"Arts, Crafts & Sewing",#28,"Huhuhero 150Pcs Safety Pins, Large & Small Safety Pins for Clothes Sewing Craft, Nickel Plated Steel Assorted Size Pins Bulk, Art and Craft Supplies (Sliver)",3.69,"9,072",4.5 out of 5 stars
B07S7FXBNT,https://www.amazon.com/dp/B07S7FXBNT,"Arts, Crafts & Sewing",#29,"Apple Barrel Acrylic Paint, Blue Kazoo",0.58,"43,448",4.7 out of 5 stars
B01BRGU8R0,https://www.amazon.com/dp/B01BRGU8R0,"Arts, Crafts & Sewing",#30,"Amazon Basics Stainless Steel Scissors for Office, Crafts, Multipurpose, Sharp, Comfort Grip, PVD Coated, 3 Pack, Multicolor",7.55,"60,805",4.8 out of 5 stars
B016NA9V78,https://www.amazon.com/dp/B016NA9V78,Automotive,#1,"Rain-X 5079279-2 Latitude 2-In-1 Water Repellent Wiper Blades, 22 Inch Windshield Wipers (Pack Of 1), Automotive Replacement Windshield Wiper Blades With Patented Rain-X Water Repellency Formula",15.78,"115,630",4.3 out of 5 stars
B0C1Y8Z6VT,https://www.amazon.com/dp/B0C1Y8Z6VT,Automotive,#2,Kaistyle for Magsafe Car Mount【20 Strong Magnets】Magnetic Phone Holder for Car Phone Holder Mount Dash Mounted Holders Cell Phone Holders for Your Car Accessories for Women Men for iPhone 17 16 15 14,14.99,"18,014",4.4 out of 5 stars
B0CYT2JKRP,https://www.amazon.com/dp/B0CYT2JKRP,Automotive,#8,"HOMEXCEL Microfiber Cleaning Cloth 12 Pack, 12.5 x 12.5 inch Microfiber Towels for Cars, Ultra Absorbent Washing Cloth, Lint Free Streak Free Cleaning Rags for Car, Kitchen, and Window (Grey)",5.98,"7,544",4.4 out of 5 stars
