,asin,url,category,rank,title,price,review_count,rating
0,B08JHCVHTY,https://www.amazon.com/dp/B08JHCVHTY,Amazon Devices & Accessories,#1,Blink Subscription Plus Plan with monthly auto-renewal,$11.99,"262,732",4.4 out of 5 stars
1,B0CQMRKRV5,https://www.amazon.com/dp/B0CQMRKRV5,Amazon Devices & Accessories,#2,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",N/A,"42,101",4.7 out of 5 stars
2,B0CJM1GNFQ,https://www.amazon.com/dp/B0CJM1GNFQ,Amazon Devices & Accessories,#3,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.8 million movies and shows, free & live TV",N/A,"89,267",4.7 out of 5 stars
3,B0BZWRSRWV,https://www.amazon.com/dp/B0BZWRSRWV,Amazon Devices & Accessories,#4,"Ring Battery Doorbell | Home or business security with Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (newest model), Satin Nickel",N/A,"29,335",4.6 out of 5 stars
4,B09B8V1LZ3,https://www.amazon.com/dp/B09B8V1LZ3,Amazon Devices & Accessories,#5,"Amazon Echo Dot, Vibrant sounding Alexa speaker, Great for bedrooms, dining rooms and offices, Charcoal",N/A,"173,673",4.7 out of 5 stars
5,B0BP9SNVH9,https://www.amazon.com/dp/B0BP9SNVH9,Amazon Devices & Accessories,#6,"Amazon Fire TV Stick 4K Max streaming device, with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite",N/A,"64,517",4.6 out of 5 stars
6,B09WNK39JN,https://www.amazon.com/dp/B09WNK39JN,Amazon Devices & Accessories,#7,"Amazon Echo Pop, Our smallest Alexa speaker, Fits in any room, Charcoal",N/A,"98,231",4.7 out of 5 stars
7,B0DHLQT3CG,https://www.amazon.com/dp/B0DHLQT3CG,Amazon Devices & Accessories,#8,"Blink Outdoor 4 – Wireless smart security camera, two-year battery life, 1080p HD day and infrared night live view, two-way talk. Sync Module Core included – 3 camera system",N/A,"12,148",4.2 out of 5 stars
8,B0CFPJYX7P,https://www.amazon.com/dp/B0CFPJYX7P,Amazon Devices & Accessories,#9,"Amazon Kindle Paperwhite 16GB (newest model) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Black",N/A,"12,719",4.6 out of 5 stars
9,B0DGQZ8JZK,https://www.amazon.com/dp/B0DGQZ8JZK,Amazon Devices & Accessories,#10,"Blink Video Doorbell (newest model) – Head-to-toe HD view, two-year battery life, and simple setup. Sync Module Core included – System (Black)",N/A,"8,284",4.3 out of 5 stars
